"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2014",-1.54764683431029,-34.8347407502577,31.7394470816372,-52.4558638575829,49.3605701889623
"2015",-2.22469567990623,-35.7604921750791,31.3111008152666,-53.5132704751557,49.0638791153433
"2016",-2.40825282997859,-35.9820687244033,31.1655630644461,-53.7549732787085,48.9384676187513
"2017",-0.909591960756854,-35.2835709247217,33.464387003208,-53.4800562214584,51.6608722999447
"2018",0.749137707416471,-34.2189770133188,35.7172524281518,-52.7299787811824,54.2282541960154
"2019",1.39907938632561,-33.5977701736299,36.3959289462811,-52.123983246531,54.9221420191823
"2020",0.907042602327753,-34.2202674085928,36.0343526132483,-52.8155420725387,54.6296272771942
"2021",-0.0484768418112126,-35.4116626388893,35.3147089552669,-54.1318024014953,54.0348487178729
"2022",-0.681609659988122,-36.1045891159419,34.7413697959657,-54.8563817295521,53.4931624095759
"2023",-0.66245104736748,-36.0931616795989,34.768259584864,-54.849046930713,53.524144835978
"2024",-0.201668736856586,-35.6999785893881,35.2966411156749,-54.4916487061282,54.088311232415
"2025",0.255648293704715,-35.2843502033233,35.7956467907327,-54.0980889553941,54.6093855428036
"2026",0.401670420233938,-35.1390845455914,35.9424253860593,-53.9532237480542,54.7565645885221
"2027",0.232133843395806,-35.3216486826435,35.7859163694352,-54.1426842589051,54.6069519456967
"2028",-0.0427988058228248,-35.6150017922754,35.5294041806297,-54.4457885712539,54.3601909596082
"2029",-0.205484652486732,-35.7811807424291,35.3702114374556,-54.6138166586972,54.2028473537237
"2030",-0.180067911793439,-35.7569332796751,35.3967974560882,-54.5901881742945,54.2300523507077
