"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"53.14286",65.9130078295388,35.8986677371427,101.546602665828,22.6816954741462,122.417928868642
"53.28571",71.2678744758685,40.2481208170603,107.778224218203,26.4129787151617,129.078993122495
"53.42857",11.4694658108709,-0.179476312452652,34.2820647707888,-5.66513463770997,49.364178897719
"53.57143",2.46415237936744,-6.7261242571807,19.5943702457877,-16.3739368576545,32.4089212436138
"53.71429",98.3397063045857,62.603495919879,139.165878055151,46.0088261108157,162.644590782541
"53.85714",89.0607216505235,54.6366990140411,128.760175755977,38.8447600474853,151.698036502769
"54.00000",66.0684601266365,35.4504247736055,102.546493972513,22.0393050068893,123.946024691793
"54.14286",65.9067170158147,33.5237206957717,104.966160865337,19.6132654196031,128.004129073671
"54.28571",71.3008782172556,37.8147203069405,111.304621488182,23.2087574794058,134.800837684451
"54.42857",11.4650527078295,-0.697890105209796,36.6298745565518,-7.71353222572533,53.4391859956353
"54.57143",2.45577466621943,-8.12488300505278,21.535170275337,-19.2415378652768,35.9442162722661
"54.71429",98.3602657501897,59.8144209882436,142.911412406786,42.1832348519095,168.680272402714
"54.85714",89.0776223553505,51.9773721748621,132.399414341362,35.2426091440773,157.580564761325
"55.00000",66.0458523021009,33.1396693812759,105.859149256177,19.076011461151,129.372852118488
"55.14286",65.9025868757576,31.4119356773172,108.113140031957,16.9559475214004,133.162653548033
"55.28571",71.3235063276986,35.638137865688,114.540184343042,20.4106001446572,140.074201406087
"55.42857",11.4619371370152,-1.34133759217483,38.8199644539907,-9.76092889461743,57.2550194428193
"55.57143",2.45005983249313,-9.47457316342491,23.3643327985586,-21.9885959813589,39.2827692591122
"55.71429",98.3744953596224,57.2973343199596,146.361591894284,38.7802897802994,174.260386075859
"55.85714",89.0890848253535,49.5803927046466,135.754686220919,32.0492146195826,163.024192877104
"56.00000",66.0302973545638,31.0737827435395,108.930662464175,16.4948187348155,134.418806273626
"56.14286",65.8998808213307,29.5008716487156,111.05377879021,14.6174140167686,137.997523099477
"56.28571",71.3390190248587,33.658734798421,117.55610238264,17.9280308856684,145.00845161193
"56.42857",11.4597394828691,-2.05286499293939,40.8895801344472,-11.798967248512,60.8726401140748
"56.57143",2.44616060460193,-10.7848064971464,25.10772906221,-24.6409144814822,42.4700194480781
"56.71429",98.3843423320737,54.9907038023154,149.585676248106,35.706428625347,179.491530107726
"56.85714",89.0968573387821,47.3867225734751,138.892452918925,29.1750429481886,168.131393257392
"57.00000",66.0195955091203,29.1975684034535,111.815961154621,14.2148133619273,139.170933314666
"57.14286",65.8981117895746,27.7495170924319,113.831692509388,12.5375207898224,142.577286417315
"57.28571",71.3496527614802,31.8372509087367,120.399509466359,15.7017845529136,149.675999538526
"57.42857",11.4581905724258,-2.80693318486317,42.8635332667797,-13.8245625286783,64.3327539710737
